neighborhood_name,classification_name,property_type_name,price,area
حي/حجلا,سكني,قطعة أرض,100000,450
حي/مدينة سلطان,سكني,قطعة أرض,525000,566
حي/اعالى شعير الشرقى بحجلا,سكني,قطعة أرض,360000,664
حي/السوده,سكني,قطعة أرض,570000,900
حي/الصفا بسر لعصان,سكني,شقة,668761,240
حي/المحالة بمدينة سلطان,سكني,قطعة أرض,93000,745.5
حي/المنسك بابها,سكني,قطعة أرض,1650000,389.6
حي/جوحان,سكني,قطعة أرض,1000000,600
"حي/حجلاء مدينة سلطان الشجنه الغربيه",سكني,قطعة أرض,2000000,735.5
حي/سر المشد من معامل العكاس,سكني,قطعة أرض,410000,520
حي/شمال ابها,سكني,قطعة أرض,270000,706.81
حي/285 بصلحلح,سكني,قطعة أرض,44000,600
حي/ال جليحه بالشعف,سكني,قطعة أرض,320000,690
حي/البصره,سكني,شقة,380000,182
حي/الحضيرة علكم,سكني,قطعة أرض,200000,640
"حي/السويداء بمركز الشعف",سكني,قطعة أرض,20000,700
حي/العكاس وال زيدى طريق ال يوسف,سكني,قطعة أرض,676000,312.5
حي/القارية بالشعف,سكني,قطعة أرض,100000,490
حي/المحالة,سكني,قطعة أرض,500000,625
حي/المحالة ام نجم,سكني,قطعة أرض,700000,735
حي/المحاله,سكني,قطعة أرض,1540000,350
حي/المحاله,سكني,قطعة أرض,1540000,350
حي/المحاله,سكني,قطعة أرض,1300000,700
حي/المحاله,سكني,قطعة أرض,1300000,700
حي/المحاله,سكني,قطعة أرض,1200000,1480
حي/المحرق بال سرحان,زراعي,أرض زراعية,100000,1827.18
حي/الهيام شمال العرين,سكني,قطعة أرض,1400000,270
حي/الهيام شمال العرين,سكني,قطعة أرض,958375,606
حي/الوصايف,سكني,قطعة أرض,3000000,1514.3
حي/الوصايف,سكني,قطعة أرض,4250000,1730.51
حي/الوصايف,سكني,قطعة أرض,950000,1510.07
حي/الوصايف,سكني,قطعة أرض,4250000,1749.07
حي/سر العبب,زراعي,شقة,410000,281.16
حي/شعب عما بقرية ال جرجر بنى مالك,سكني,قطعة أرض,610000,491.96
حي/مدينة سلطان,سكني,قطعة أرض,380000,548
حي/اعالى شعير الشرقى بحجلا,سكني,قطعة أرض,180000,660
حي/الداره,سكني,قطعة أرض,1100000,686
"حي/الصفراء",سكني,قطعة أرض,100000,150
حي/الضباب,سكني,شقة,724500,163.5
حي/الفريض,سكني,قطعة أرض,220000,593
حي/المحاله,زراعي,شقة,710000,212.27
حي/المحاله,سكني,قطعة أرض,550000,382.46
حي/المروج بالمنسك,سكني,شقة,578896,200
حي/المفتاحة,سكني,بيت,50000,527
حي/رظف,سكني,قطعة أرض,390000,602.34
حي/ال غليظ,سكني,قطعة أرض,700000,925
حي/الحمراوين,زراعي,شقة,400000,225.06
حي/الداره,زراعي,شقة,1000000,444.5
حي/الشرقى,سكني,قطعة أرض,400000,472.5
حي/الشرقى,سكني,قطعة أرض,400000,472.5
حي/العرين,سكني,قطعة أرض,450000,402.75
حي/المحالة بمدينة سلطان,سكني,قطعة أرض,150000,750
حي/النميص بالمنسك,سكني,شقة,875000,337.45
حي/الهيام شمال العرين,تجاري,قطعة أرض,1200000,780.5
حي/الهيام شمال العرين,سكني,قطعة أرض,700000,557.5
حي/الهيام شمال العرين,تجاري,قطعة أرض,1200000,780.5
حي/الهيام شمال العرين,سكني,قطعة أرض,700000,557.5
حي/حجلا,سكني,قطعة أرض,200000,450
حي/مربه,تجاري,قطعة أرض,500000,800
حي/700 بالخلله,سكني,قطعة أرض,40000,600
حي/الخارجه بنى مالك,سكني,قطعة أرض,100000,741
حي/السودة,سكني,قطعة أرض,480000,900
حي/القارية,تجاري,قطعة أرض,230000,663.85
حي/المحالة بمدينة سلطان,سكني,قطعة أرض,400000,750
حي/المحالة مدينة سلطان,تجاري,قطعة أرض,950000,1037.5
حي/المحالة مدينة سلطان,سكني,قطعة أرض,900000,900
حي/الوردتين,سكني,شقة,500000,285.6
حي/الوردتين,سكني,شقة,500000,291.75
حي/الوردتين,سكني,شقة,500000,291.75
حي/الوردتين,سكني,شقة,500000,291.75
حي/الوردتين,سكني,شقة,500000,291.75
حي/حجلا,سكني,قطعة أرض,380000,450
حي/حجلا,سكني,قطعة أرض,300000,450
حي/أخرى,سكني,قطعة أرض,560000,299.11
حي/الخارجه بنى مالك,سكني,قطعة أرض,400000,720
حي/السلمه ال غليظ,سكني,قطعة أرض,200000,608
حي/المحاله,زراعي,شقة,700000,242.18
حي/المحاله,تجاري,قطعة أرض,700000,785.5
حي/الهيام شمال العرين,زراعي,شقة,550000,219.34
حي/الوصايف,زراعي,شقة,550000,157.62
حي/الوصايف,زراعي,شقة,570000,149.13
حي/حجلا,سكني,قطعة أرض,470000,450
حي/لعصان,سكني,قطعة أرض,600000,561.52
حي/ال غليظ,سكني,قطعة أرض,550000,600
حي/الهيام شمال العرين,سكني,قطعة أرض,554000,610.3
حي/الخارجه بنى مالك,سكني,قطعة أرض,450000,727.5
حي/السوده,سكني,قطعة أرض,493000,900
حي/الشرف,سكني,قطعة أرض,900000,720
